以下是对您提供的酒类相关文本的整理与解读，按类别和用途分门别类，便于理解：

---

### **一、酒的分类与特性**
1. **米酒**  
   - **性质**：苦、甘、辛，大热，有毒。  
   - **功效**：通血脉、厚肠胃、润皮肤、养脾气、扶肝、除风下气、散湿气、消忧发怒、行药势、杀百邪恶毒气。  
   - **禁忌**：不可过饮。  
   - **附方**：  
     - 惊怖卒死：温酒灌之即醒。  
     - 鬼击诸病：以醇酒吹两鼻内。  
     - 马气入疮：多饮醇酒至醉愈妙。

2. **老酒**  
   - **特性**：腊月酿造，可经数十年不坏。  
   - **功效**：和血养气、暖胃辟寒。  
   - **副作用**：发痰动火。

3. **烧酒（火酒/阿剌吉酒）**  
   - **性质**：辛、甘，大热，有大毒。  
   - **解毒方法**：盐、冷水、绿豆粉可解毒。  
   - **功效**：消冷积寒气、燥湿痰、开郁结、止水泄、霍乱、疟疾、噎膈、心腹冷痛、阴毒欲死、杀虫辟瘴、利小便、坚大便。  
   - **副作用**：过饮败胃伤胆、丧心损寿，甚至黑肠腐胃。  
   - **附方**：  
     - 冷气心痛：烧酒入飞盐饮即止。  
     - 阴毒腹痛：烧酒温饮，汗出即止。  
     - 寒痰咳嗽：烧酒与猪脂、蜜、香油、茶末混合煮饮。  
     - 耳中有核：火酒滴入，仰卧半时即可取出。  

---

### **二、药酒与养生酒**
1. **薏苡仁酒**  
   - **功效**：去风湿、强筋骨、健脾胃。  
   - **制法**：用优质薏苡仁粉与曲、米酿酒，或袋盛煮酒饮。

2. **天门冬酒**  
   - **功效**：润五脏、和血脉，久服除五劳七伤、癫痫恶疾。  
   - **制法**：冬月用天门冬去心煮汁，与曲、米酿成。  
   - **注意事项**：忌生冷，常令酒气相接，勿大醉。

3. **菊花酒**  
   - **功效**：头风、明耳目、去痿痹、消百病。  
   - **制法**：甘菊花煎汁，与曲、米酿酒，或加地黄、当归、枸杞等药。

4. **桑椹酒**  
   - **功效**：补五脏、明耳目，治水肿。  
   - **制法**：桑椹捣汁煎过，与曲、米酿酒饮。

5. **蜜酒**  
   - **功效**：风疹、风癣。  
   - **制法**：沙蜜1斤、糯饭1斤、面曲5两、熟水5升，封7日成酒。

6. **姜酒**  
   - **功效**：偏风、中恶疰忤、心腹冷痛。  
   - **制法**：姜浸酒，暖服一碗即止。

7. **缩砂酒**  
   - **功效**：消食和中、下气、止心腹痛。  
   - **制法**：砂仁炒研，袋盛浸酒煮饮。

8. **椒柏酒**  
   - **功效**：辟疫疠不正之气。  
   - **制法**：元旦饮之，除夕以椒37粒、侧柏叶7枝浸酒饮。

9. **鹿头酒/鹿茸酒**  
   - **功效**：补益精气、治虚劳不足、消渴、夜梦鬼物。  
   - **制法**：鹿头煮烂捣泥，连汁和面、米酿酒，或鹿茸、山药浸酒服。

10. **羊羔酒**  
    - **功效**：大补元气、健脾胃、益腰肾。  
    - **制法**：米1石、嫩肥羊肉7斤、曲14两、杏仁1斤，煮烂拌末酿制，或羊肉蒸烂浸酒，加消梨汁。

---

### **三、特殊用途酒**
1. **社坛余胙酒**  
   - **功效**：小儿语迟，纳口中佳；喷屋四角辟蚊；饮之治聋。  
   - **典故**：李涛诗句“社翁今日没心情，为寄治聋酒一瓶”。

2. **老酒（腊月酿造）**  
   - **特性**：可保存数十年，和血养气。

---

### **四、注意事项与禁忌**
1. **烧酒**：  
   - 避免与姜、蒜同食，易生痔疮。  
   - 善摄生者应戒饮，以防败胃伤胆、丧心损寿。

2. **酒的饮用原则**：  
   - 少饮则和血行气、壮神御寒、消愁遣兴。  
   - 醉酒易伤肝，需节制。

3. **药酒使用**：  
   - 需遵医嘱，避免过量或不当搭配。  
   - 某些药酒（如天门冬酒）需忌生冷，避免大醉。

---

### **五、文化与历史背景**
- **酒的起源**：《战国策》称仪狄造酒献禹，《说文》载少康（杜康）造酒，但《素问》已提及酒浆，说明酒自黄帝时期已存在。  
- **酒的阴阳属性**：酒属阳，与火同性，得火即燃，能祛寒湿，但过饮伤阴。  
- **药酒文化**：古代将酒用于药引或直接饮用，以增强药效或治疗疾病，如《博物志》中王肃、张衡等人饮酒后身体状况的对比。

---

### **总结**
酒在传统医学中既是药材也是药引，不同酒类因酿造工艺、成分差异而具有不同功效。药酒常用于补益、祛湿、通经络等，但需注意适量与禁忌，避免因过量饮用引发健康问题。现代使用时，建议结合中医理论并在专业指导下应用。
