```markdown
五果部
    橘  崔禹云：食用可促进水谷消化，有助于气机运行。果皮味苦辛，也可食用。
    柑子  崔禹云：食用可缓解气滞，味甘酸，性微寒，无毒，可缓解胸热烦满。果皮主治上气烦满。
    柚  崔禹云：多食易导致痰多。
    干枣  崔禹云：食用可增强气力，缓解烦闷。另有猗枣，极为甘美，形如鸡蛋，能改善面色，产自猗氏县，故得名。
    生枣  崔禹云：食用生枣易引发胃热口渴，蒸煮后食用则有益。
    李  崔禹云：性微寒，若临水食用，可能被蛟龙吞食。
    杏实  崔禹云：可治疗风噤及言语不利，未开者效果最佳。味酸，性大热，有毒，不可多食，易生痈疖，伤筋骨。
    桃实  崔禹云：食用易导致腹泻，可改善面色，滋养肝气。现今食桃者忌讳术士，非议此俗，但民间使用无害。传说陈子皇入霍山食桃，多食可延年驻颜，至三百岁仍面色润泽，精力充沛。
    梅实  崔禹云：味酸，性大温，可安定肝心，缓解气滞。
    栗子  崔禹云：食用可增强气力。
    柿  崔禹云：味甘性寒，可治疗下痢，缓解痈肿、口焦舌烂。
    梨子  崔禹云：食用可治疗伤寒，为妙药，但不可多食。
    柰  崔禹云：可消除内热，无毒。
    石榴  崔禹云：不可多食，伤人气。世人爱其红花，多种植以为延年花。
    枇杷  崔禹云：果实可缓解气滞，止哕呕逆，味甘，生食有益。
    猕猴桃  崔禹云：食用可调和脾胃，安肝，味甘，性寒，主黄疸消渴，形似枣而青黑；茎节生数十果，果实可利人。
    郁子  崔禹云：味酸，性寒，未熟者有毒，食之易发狂。熟者可益人。
    通草  崔禹云：食用可祛痰水，止赤白下利，味甘，性温。
    木莲子  崔禹云：食用可安中养肝，味甘酸，性寒，无毒，主火烂疮、烦毒。性滑利，叶似郁，果似櫠，食之轻身，去热气。
    榛子  崔禹云：食用可明目驱虫，味甘微涩，性寒，无毒，久食轻身耐老。树似杏，果似栎，蒸干食可益人气。
    胡桃人  崔禹云：食用可下气，味甘，性微寒，无毒，主喉痹，杀白虫，令人痰动。
    椎子  崔禹云：味甘，性微温，无毒，主补五脏，安中。另有枥子，形似椎而更大。
    覆盆子  崔禹云：覆盆子味酸美香，主益气力，安五脏，烈真常食之，遂登仙。
    甘蔗  崔禹云：食用可下气，性微寒。广州大种，经二三年生，高大如竹，超二三丈。取汁作沙糖，可理风痹，益面色。
    葡萄  崔禹云：食用可益气力，除风冷，味甘，性微寒，益面色。
    薯蓣  崔禹，云：食用可长肌肉，强阴气。
    薗  崔禹云：食用可厚肠胃，益气力，止饥，味苦微甘，无毒，性微温，驻面色，胜于麦豆，可烧蒸充粮。
    芋  崔禹云：味咸，性微温，滑中，多食伤人性命。
    乌芋  崔禹云：食用可益气力，主消渴、五淋，煮食为佳。
    芨实  崔禹云：芰实，食用可安中，补五脏。
    藕实  崔禹云：藕实根味甘，性寒，食养心神。根性大寒，主烦热，鼻血不止。
    鸡头实  崔禹云：益气力，耳目明了。
    千岁虆汁  崔禹云：食用可补五脏，味甘平，性微寒，其茎切开取汁，状如薄蜜，甘美，以薯蓣粉和汁煮粥食，主哕逆。又合白蜜食之，益人。
```
