```markdown
五肉部
    牛乳  崔禹云：有益胃气，使人皮肤润泽。
    鹿  崔禹云：鹿肉味咸，性温，无毒，主治风邪、寒气、口歪、消渴。心主安神，肝主安肝，肺主安肺，肾主安肾，脾主安脾，膏主治四肢不遂。
    雉  崔禹云：主治行走迟缓，益肝气，明目，治疗癣疮等浅表皮肤病。丙午日食用，会引发心瘕，损伤肝气，导致五鬼内生，招致不祥。
    云雀  崔禹云：味咸，性大温，无毒，主治补中，治疗阴痿不起、虚劳内损、赤白痢，作肉羹食用可增强阳气。外形像雀但体型较大。春夏栖息于阳处，秋冬栖息于阴处。阳时喜鸣叫，阴时不鸣，吸阴气升天，含阳气落地。飞翔于云中吐气，故得名。其鸣声密密实实，似人声轰鸣。
    鹑  崔禹云：鹌鹑无毒，主治赤白痢、漏下血、暴风湿痹，养肝肺之气，通畅九窍。
    鸠  崔禹云：味苦咸，性平，无毒。主治接续筋骨断裂，补益中气，强健筋骨，增强气力。喜奔跑，孕妇尤不可食用，因其子门肥厚易致难产。古人云：此鸟为不噎之鸟，故老人杖头刻鸠像以治噎疾。
    鵤  崔禹云：味甘，性温，无毒。主治赤白痢，补益中气，降气。外形似鸰，有白喙，隼眼，翅羽斑驳可爱。
    鹎  崔如云：味酸，性寒，无毒。主治赤白痢，虚损不足，补益中气，安定魂魄。
    雁  崔禹云：味甘，性微寒，主治风热、烦心，驻颜面色，调理腰脚痿弱。雁类繁多，大的称鸿，小的称雁。
    鲤鱼  崔禹云：鲤鱼性温，无毒，主治脚气、腹痛，增强气力。
    鲫鱼  崔禹云：味咸，性大寒，无毒。主治心烦闷，补益五脏，安定中气。食用鲫鱼生鱼片忌饮水，易生蛔虫。又不可与猪肉同食，致腹中冷积。
    鮧鱼  崔禹云：鲇鱼性温，无毒，主治风寒湿痹、赤白痢、虚损不足，使人皮肤肥美。外形似鳟而小，色白，皮中有白垢。大者长一二尺，小者长七八寸，无鳞，春生夏长，秋衰冬死。一名（鱼要）。
    鲷  崔禹云：味甘，性寒，无毒。主治逐水，消水肿，利小便，驱除痔虫，破积聚，止咳逆气。肠主排出败疮中虫，强健筋骨。外形似鲫，红鳍坚鳞。
    鲈  崔禹云：味咸，性大温，无毒。主治风痹、瘀痉、面疱。外形似鲤而鳃大，补益中气，安定五脏，可作肉羹、鱼片。
    鲭  崔禹云：味咸，性大温，无毒。主治血痢，补益中气，安定肾气。外形似鲢，小口尖背苍，可作鲊食。补益中气，南方人多食鲭，益面色。癫痫患者食鲭羹难愈。
    鲨  崔禹云：味甘，性温，无毒。主治下痢，明目，安心神。外形似鮻，皮中有白垢，尾白，刺连连逆逆。头中有石，江南人称其为石首鱼。
    鲑  崔禹云：味咸，性大温，无毒。主治止下痢，增强气力。其子似莓赤光，一名年鱼。春生而年中死，故名之。治风痹效验。
    蠡鱼  崔禹云：补益中气明目，食鳢肝忌饮水，以防生蛇子。
    乌贼鱼  崔禹云：味咸，生者性大寒，干者性小温，无毒。主治鬼气入腹，绞痛积聚。南海多垂碇浮乌，鸟翔至见之即死，鸟喙惊卷捕杀，故名乌贼。为海神之吏。
    海鼠  崔禹云：味咸，性大寒，无毒。主治补肾气，祛百节风。外形似马蛭，大者长五六尺，小者一二尺，体上有小角数十枚如革囊而膨缩。干者性温，主治下痢，生毛发，黄疸疲瘦。其肠尤治痔疮效验。
    海月  崔禹云：味辛，性大寒，无毒。主治通利大小肠，除关格、黄疸、消渴。外形似月，在海中，故名。又有凝月，味咸苦，性寒，主治黄疸消渴，似海月，在海中煮时凝结，故名。一名水母。
    海蛸  崔禹云：味咸，性寒，无毒。主治补益中气。外形似田螺，肉头生黑发白卷曲。
    寄居  崔禹云：味咸，性寒，无毒。主治渴，醒酒，祛烦热。外形似蜘蛛，喜居他壳中，负壳而行。人惊扰即缩足似死，行时取食，以壳炙火即出，亦拾食。
    蟹  崔禹云：主治齇鼻恶血，明目醒酒。蟹类繁多。蔡谟初渡江不识而食蟹，几死，叹曰：读《尔雅》不熟，为劝学所误。
    河贝子  崔禹云：味咸，性寒，无毒，主治黄疸、消渴。
    田中螺汁  崔禹云：田中螺子，味咸，性小寒，无毒。主治醒酒。性寒补益。
```
