```markdown
# 动物药用部位汇编

## 猪部
- **猪肉**：性甘咸温，补虚损，止涎唾。久食致鼻生毛，可用乳石、硇砂治之。
- **猪骨髓**：补骨髓，通经脉，止泄痢。配地黄汁治羸瘦。
- **猪胆**：除热渴，止下痢。拌苦参蜜丸治谷疸。
- **猪脂**：调生油涂秃头疮，入盐治走马疳。
- **猪血**：补血凉血，主治血虚风热。刺血热饮治胎死不下。

## 狗部
- **狗肉**：性温，补脾胃。久食致鼻生毛，可用乳石、硇砂治之。
- **狗胆**：除热渴，止下痢。配苦参蜜丸治谷疸。
- **狗血**：补血凉血，解丹石毒。忌服地黄、何首乌等补药。

## 羊部
- **羊肉**：性温，补虚损。久食致鼻生毛，可用乳石、硇砂治之。
- **羊骨髓**：补骨髓，通经脉。配地黄汁治羸瘦。
- **羊血**：补血凉血，解丹石毒。刺血热饮治胎死不下。
- **羊脂**：调姜汁、韭汁治噎膈，煎膏治劳损风湿。

## 牛部
- **牛肉**：性温，养脾胃。病死牛肝有毒，食之致疔疮。
- **牛骨髓**：通十二经脉，止泄痢。配地黄汁治羸瘦。
- **牛乳**：养心肺，润肠胃。佐姜汁治热哕，拌硫黄治脚痹。
- **牛胆**：除热渴，止下痢。拌苦参蜜丸治谷疸。
- **牛黄**：清心火，通关窍。配朱砂涂痘疮，得犀角末治惊风。
- **黄明胶**：去风湿，活血止痛。可代阿胶用。

## 马部
- **白马悬蹄**：破瘀血，疗肠痈。调鸡子清涂肠痈。
- **白马溺**：杀虫破瘕，煎汁治卒死。
- **白马胫骨**：降阴火，可代芩、连。
- **白马头骨**：合乳香、炒枣仁治胆虚不眠。

## 其他
- **阿胶**：补血止血，治虚劳咳嗽。忌与大黄同用。
- **驴溺**：治反胃，杀诸虫。配人中白滴耳治聋。
- **霞天膏**：煎制法：用肥嫩黄牛肉三四十斤，洗净煮烂熬膏。
```
