以下是对您提供的中药材信息的整理与分类，便于查阅和理解：

---

### **一、药材名称与性味归经**
1. **海藻**  
   - **性味**：苦、咸，寒  
   - **归经**：肝、肾经  
   - **功效**：主十二种水肿，瘿瘤（甲状腺肿）。  
   - **用法**：海藻一斤，酒浸服，酒尽再作，不过两三剂即瘥。  
   - **注意**：咸能软坚，瘿坚如石者需配合使用。

2. **昆布**  
   - **性味**：咸，寒  
   - **归经**：肝、肾经  
   - **功效**：主十二种水肿，瘿瘤。  
   - **用法**：与海藻同功，项下瘿气渐大可用昆布、海藻等分蜜丸含服。  

3. **土茯苓**  
   - **性味**：甘、淡，平  
   - **归经**：肝、胃经  
   - **功效**：健脾胃，去风湿，解轻粉毒（如杨梅疮复发）。  
   - **用法**：锉土萆薢三两，加皂角、牵牛各一钱，水煎分三服。  

4. **番木鳖**  
   - **性味**：辛，温  
   - **归经**：肝、脾经  
   - **功效**：喉痹，热牙疼（含漱法）。  
   - **用法**：番木鳖半个，井花水磨一小盏含漱，热即吐，水尽痛止。  

5. **马勃**  
   - **性味**：辛，平  
   - **归经**：肺经  
   - **功效**：喉痹，清肺，散血解热。  
   - **用法**：烧末含咽，或配蛇蜕、火硝吹喉。  

6. **白附子**  
   - **性味**：辛、甘，大温  
   - **归经**：阳明经  
   - **功效**：中风，诸风冷，面皯（面部黄褐斑）。  
   - **用法**：牵正散（配白僵蚕、全蝎）；风痰头眩配石膏、朱砂等制成丸剂。  

7. **白鹤根**（玉簪花根）  
   - **性味**：甘、辛，寒  
   - **归经**：肝经  
   - **功效**：解毒，下骨鲠，损齿（需注意）。  
   - **用法**：捣汁服解毒；研末吹鼻或涂牙。  

8. **凤仙**（急性子）  
   - **性味**：微苦，温  
   - **归经**：肝经  
   - **功效**：主产难、噎膈、骨鲠，损齿。  
   - **用法**：凤仙子研末水服催生；酒浸丸服治噎食。  

9. **水萍**（浮萍）  
   - **性味**：辛，寒  
   - **归经**：肺、膀胱经  
   - **功效**：风湿麻痹，下水气，止消渴，治时行热病。  
   - **用法**：浓煮汁坐浴；蜜丸（紫萍一粒丹）治风、脚气。  

10. **黄药子**  
    - **性味**：苦，平  
    - **归经**：肝经  
    - **功效**：消瘿解毒。  
    - **用法**：项下瘿瘤用黄花子酒浸每日服。  

---

### **二、特殊功效与用法**
1. **解骨鲠**  
   - **白凤仙子**：研水灌咽，或吹鼻；根、叶同效。  
   - **白鹤根**：捣汁服，或研末吹鼻。  
   - **凤仙子**：研末水服，或酒丸服。  

2. **治杨梅疮**  
   - **土茯苓**：配合皂角、牵牛煎服，解轻粉毒。  
   - **蔷薇根**：煮酒饮，治杨梅疮服轻粉后复发。  

3. **喉痹**  
   - **马勃**：烧末含咽；配蛇蜕、火硝吹喉。  
   - **番木鳖**：含漱法。  

4. **风湿麻痹**  
   - **水萍**：煮汁外洗；  
   - **马兜铃**：配酥、甘草煎服，清肺热。  

---

### **三、注意事项**
1. **损齿风险**  
   - **白鹤根**、**凤仙**、**玉簪根**：使用时需避免接触牙齿，以免损伤。  
   - **白附子**、**番木鳖**：含服时不可经牙，避免腐蚀。  

2. **禁忌**  
   - **土茯苓**：忌食毒物及怒，需配合线度观察疗效。  
   - **海藻、昆布**：脾胃虚寒者慎用。  

3. **特殊炮制**  
   - **白附子**：炮制后用于风痰头眩；  
   - **马勃**：烧末后使用。  

---

### **四、附方与配伍**
1. **牵正散**  
   - **组成**：白附子、白僵蚕、全蝎等分。  
   - **用法**：研末，热酒调服。  

2. **紫萍一粒丹**  
   - **组成**：七月半浮萍晒干蜜丸。  
   - **用法**：豆淋酒化服，治风、脚气、破伤。  

3. **马兜铃煎剂**  
   - **组成**：马兜铃、酥、甘草。  
   - **用法**：煎服后含咽，治肺热喘息。  

---

### **五、现代应用参考**
- **海藻、昆布**：用于甲状腺肿大、水肿。  
- **土茯苓**：治疗梅毒、杨梅疮复发。  
- **水萍**：外洗缓解风湿痛，内服清热利尿。  
- **白附子**：用于中风面瘫、风痰眩晕。  

---

以上整理结合了传统文献与临床应用，建议在专业医师指导下使用，避免自行用药。
