以下是您提供的中医中药文本的整理与解读，按类别分述：

---

### **一、豆类药材**
#### **1. 生大豆（中品）**
- **性味**：甘平，无毒  
- **功效**：  
  - 解毒：解诸热毒、药石毒、饮馔毒、酒毒、乌头毒  
  - 化湿：去湿痹、筋骨挛、膝痛  
  - 消肿：散五脏结积、瘀血、肿胀  
  - 行气：除胃中热痹、伤中淋露  
- **禁忌**：久服令人身重  

#### **2. 黑小豆（中品）**
- **性味**：甘平，无毒  
- **功效**：  
  - 利水：主下水、脚气、水肿  
  - 消肿：散痈肿脓血、寒热、热中消渴  
  - 活血：通关节、杀醒气  
- **用法**：炒研豆屑，汤调消食胀；煮汁饮解丹石毒  
- **禁忌**：脚气患者可用酒浸豆渣敷脚  

#### **3. 赤小豆（中品）**
- **性味**：甘酸平，气温，无毒  
- **功效**：  
  - 利水：主水气、脚气、水肿  
  - 消肿：散痈肿、排脓血、止泄、利小便  
  - 解酒：煎汁饮解酒毒  
- **禁忌**：久服虚人，令人枯燥黑瘦  

#### **4. 绿豆（中品）**
- **性味**：甘寒，无毒  
- **功效**：  
  - 解毒：解丹毒、药石热气、酒毒、石毒  
  - 消肿：生研绞汁服，消肿下气  
  - 养颜：润皮肉、厚肠胃  
- **用法**：不可去皮（皮寒肉平），作粉敷肿毒  
- **禁忌**：与蛤肉同食忌  

#### **5. 白扁豆（中品）**
- **性味**：甘微温，无毒  
- **功效**：  
  - 和中：主霍乱吐逆、补五脏、行风气  
  - 解毒：杀草木毒、酒毒、河豚毒  
- **用法**：佐香薷清暑邪，佐参苓白术止泻补脾  

---

### **二、其他药材与食品**
#### **1. 醋（下品）**
- **性味**：酸温，无毒  
- **功效**：  
  - 散水气：消痈肿、杀邪毒、敛咽疮  
  - 治疗：产后血晕、伤损金疮、郁痛、痃癖  
- **禁忌**：多食损筋骨颜色，忌与蛤肉同食  

#### **2. 浆水（气微温，味甘）**
- **功效**：  
  - 调中：引气宣和、开胃醒睡、除烦止渴  
  - 消食：止霍乱泻痢、滑肌肤  
- **禁忌**：不可与李同食致霍乱；孕妇忌饮浆水粥  

#### **3. 酱（下品）**
- **性味**：冷利，咸酸  
- **功效**：  
  - 解毒：杀虫蛇蝎蜂毒、解百药热汤及火毒  
  - 治疗：涂疥癣瘙痒（用陈久酱）  
- **特殊酱**：  
  - 榆仁酱：通便、除心腹恶气  
  - 纯面陈甜酱：甘温补脾胃  

---

### **三、药膳与方剂**
#### **1. 豆淋酒（中品）**
- **制法**：黑小豆炒黑后投酒中，酒呈紫色  
- **功效**：主瘫痪风痹、产后中风、产后余血水气  
- **用法**：紫酒加鸡屎白炒香更佳  

#### **2. 赤豆粉（中品）**
- **功效**：治烦解毒，解油衣沾缀  

#### **3. 绿豆花（中品）**
- **功效**：解酒毒（与葛花共用）  

#### **4. 芍药（未提及，但常见）**  
- **性味**：苦酸微寒，归肝脾  
- **功效**：柔肝止痛、养血调经、敛汗  

---

### **四、中医理论要点**
1. **性味归经**：  
   - 豆类多甘平，属土，入脾胃；  
   - 醋酸温，入肝经，收敛固涩；  
   - 浆水微温，入脾经，健脾消食。  

2. **配伍禁忌**：  
   - 酸味（醋、酱）与甘味（豆类）相辅相成，但忌与寒性食物同用。  
   - 豆类多利水，需注意虚寒体质者慎用。  

3. **药食同源**：  
   - 赤小豆、绿豆等既是药材，也常作为日常食材用于食疗。  

---

### **五、实用建议**
1. **脚气调理**：  
   - 赤小豆煮汁饮用，或用鸡子清调末敷患处。  
   - 浆水煎干姜屑，可缓解霍乱。  

2. **解酒方法**：  
   - 绿豆花+葛花泡水，或白扁豆+香薷煮汤。  

3. **产后调理**：  
   - 豆淋酒可缓解产后中风抽搐，但需辨证使用。  

4. **皮肤护理**：  
   - 赤豆汁洗疮，绿豆粉敷肿毒，浆水润肤。  

---

如需进一步探讨某药材的详细用法或配伍禁忌，请提供具体名称，我将为您深入解析！
