以下是对您提供内容的系统性整理与总结，分为**茶饮配方**和**果品描述**两部分：

---

### **一、茶饮配方与功效**
1. **琼浆**  
   - **配方**：乌梅肉3两、白蜜1斤、河水5升、薄荷末2两、桂末5钱。  
   - **功效**：润肺生津，解烦止渴。  
   - **制作**：炼蜜去浮沫后煮透，加入薄荷、桂末封存5日。

2. **乌梅汤**  
   - **配方**：乌梅肉3两、薄荷叶2两、白糖3两、陈皮5钱、河水5升。  
   - **功效**：止渴清热，顺气消食。  
   - **使用**：煎煮后温饮。

3. **生脉饮**  
   - **配方**：人参3钱、五味子7粒、麦冬3钱（去心）。  
   - **功效**：补中生津，止渴解烦。  
   - **使用**：煎煮后冲麦冬汁，去渣饮用。

4. **灯心汤**  
   - **配方**：灯心草煎汤，放冷饮用。  
   - **功效**：清心利小便，引火下行。  
   - **搭配**：调和益元散效果更佳。

5. **其他饮品**  
   - **甘蔗汁**：生津止渴，润肺清心。  
   - **甘梨汁**：清热润肺，咳嗽者加贝母煎服。  
   - **藕汁**：清心润肺，止血治吐血、咯血。  
   - **莱菔汁**：消食化积，治火毒、衄血。  
   - **杏酪茶**：润肠胃，清热止咳。  

---

### **二、果品描述与特性**
#### **1. 果品分类与产地**
- **津符子**（《千金方》）：味苦，多食致口爽，不知五味。  
- **必思答**（《饮膳正要》）：甘无毒，调中顺气，产自回回田地。  
- **甘剑子**（《桂海志》）：形似巴榄子，不可食，发人病（称“海胡桃”）。  
- **杨榣子**（《海异物志》）：生于闽越，树皮中生果，形异味甘。  
- **海梧子**（《南方草木状》）：出林邑，树似梧桐，果如栗，肥甘可食。  
- **木竹子**（《桂海志》）：皮形如枇杷，肉甘美，秋冬熟，产广西。  
- **罗晃子**（《桂海志》）：橄榄状，七层皮，夏熟味如栗，产广西。  
- **人面子**（《草木状》）：果核似人面，蜜渍可食，产广中。  
- **黄皮果**（《海槎录》）：状如楝子及小枣，酸味，产广西横州。  

#### **2. 果品毒性与注意事项**
- **有毒果品**：  
  - **未成核果**：食之致痈疖、寒热。  
  - **果落地有虫**：食之患“九漏”（古称疾病）。  
  - **双仁果**：有毒，可致命。  
  - **双蒂瓜**：有毒，沉水者亦致命。  
  - **异常果**：根下有毒蛇，食之致命。  

---

### **三、文化与药用价值**
- **茶饮**：多以天然药材（如乌梅、薄荷）配伍，兼顾清热、润肺、生津等功效，体现古代“药食同源”理念。  
- **果品**：部分果品被赋予特殊药用价值（如人面子蜜渍可食），而毒性描述反映古人对自然物的谨慎态度。  
- **文献来源**：内容融合《本草纲目》《饮膳正要》等典籍，体现中医学与地方志的结合。  

---

### **四、实用建议**
1. **饮茶**：选择适合体质的茶饮（如虚热者用生脉饮），避免空腹饮用。  
2. **食果**：注意果品成熟度与安全性，避免食用可疑有毒果实。  
3. **保存**：果品蜜渍或干燥保存可延长食用期，但需注意卫生。  

--- 

以上整理结合了文献记载与实用价值，可供研究中医、食疗或传统文化参考。
