以下是根据您提供的中药材信息整理的结构化分类，按药材类别划分并附上关键属性：

---

### **根茎类**
1. **桑根皮**  
   - 性味：甘、寒  
   - 归经：足太阳膀胱经  
   - 功效：清热利尿，祛风止痒  
   - 主治：水肿，小便不利，风湿痹痛，皮肤瘙痒  

2. **女贞子（叶）**  
   - 性味：甘、苦、凉  
   - 归经：足少阴肾经  
   - 功效：养阴补肝，明目乌发  
   - 主治：虚火烦热，腰膝酸软，目暗不明，须发早白  

3. **卫矛（鬼箭羽）**  
   - 性味：苦、寒  
   - 归经：肝经  
   - 功效：破血杀虫，通经活络  
   - 主治：瘀血经闭，跌打损伤，虫毒疮疡  

4. **南烛子（根、叶）**  
   - 性味：酸、甘、平  
   - 归经：足少阴肾经  
   - 功效：强筋骨，益精气  
   - 主治：筋骨无力，肾虚遗精  

5. **黄荆根（牡荆）**  
   - 性味：苦、微辛  
   - 归经：手少阴心经  
   - 功效：祛风止痛，解肌发表  
   - 主治：头痛，风湿痹痛，毒蛇咬伤  

---

### **花类**
1. **木槿（根、叶、皮）**  
   - 性味：甘、滑、微寒  
   - 归经：足阳明胃经、足太阳膀胱经  
   - 功效：润燥活血，清热解毒  
   - 主治：赤白带下，肠风久痢，湿热黄疸  

2. **芙蓉花（根、叶、皮）**  
   - 性味：微辛，平  
   - 归经：肝经  
   - 功效：清肺凉血，散热解毒  
   - 主治：痈肿疮毒，汤火伤  

3. **山茶花**  
   - 性味：苦、微辛，温  
   - 归经：肝经  
   - 功效：凉血止血，消肿止痛  
   - 主治：肠风下血，咯血衄血  

4. **密蒙花**  
   - 性味：甘、平、微寒  
   - 归经：肝经  
   - 功效：清肝明目，退翳  
   - 主治：目赤肿痛，翳障胬肉  

---

### **叶类**
1. **女贞子（叶）**  
   - 性味：微苦  
   - 归经：肝经  
   - 功效：除风散血，消肿定痛  
   - 主治：风湿痹痛，跌打损伤  

2. **枸杞子（苗、叶）**  
   - 性味：甘，微温  
   - 归经：肝经、肾经  
   - 功效：补肝益肾，明目强腰  
   - 主治：肝虚目暗，腰膝酸软，虚劳咳嗽  

3. **五加皮**  
   - 性味：辛、苦、温  
   - 归经：肝经、肾经  
   - 功效：祛风湿，补肝肾  
   - 主治：风湿痹痛，肾虚腰痛，水肿脚气  

---

### **果实类**
1. **枸杞子（地骨皮）**  
   - 性味：甘，微温  
   - 归经：肝经、肾经  
   - 功效：补肾益精，养肝明目  
   - 主治：肾虚精亏，目昏不明，虚劳咳嗽  

2. **地骨皮**  
   - 性味：味淡，性寒  
   - 归经：肺经、肾经  
   - 功效：退虚热，凉血除蒸  
   - 主治：阴虚发热，骨蒸盗汗，肺热咳血  

3. **蔓荆子**  
   - 性味：辛、苦、微温  
   - 归经：膀胱经、肝经  
   - 功效：疏风散热，清肝明目  
   - 主治：头痛，目赤肿痛，风湿痹痛  

4. **紫荆皮**  
   - 性味：苦，寒  
   - 归经：肝经  
   - 功效：活血行气，消肿解毒  
   - 主治：月经不调，小便不通  

---

### **其他**
1. **荆沥**  
   - 性味：辛、甘  
   - 归经：心经  
   - 功效：祛风解表，清热化痰  
   - 主治：中风失音，痰迷心窍，小儿惊痫  

2. **五加皮**（重复）  
   - 性味：辛、苦、温  
   - 归经：肝经、肾经  
   - 功效：祛风湿，补肝肾  
   - 主治：风湿痹痛，肾虚腰痛，水肿脚气  

3. **黄荆根**（重复）  
   - 性味：苦、微辛  
   - 归经：心经  
   - 功效：祛风止痛，解肌发表  
   - 主治：头痛，风湿痹痛，毒蛇咬伤  

---

### **特殊条目**
1. **女贞子（叶）**  
   - 性味：微苦  
   - 功效：除风散血，消肿定痛  
   - 主治：风湿痹痛，跌打损伤  

2. **密蒙花**  
   - 性味：甘、平、微寒  
   - 功效：清肝明目，退翳  
   - 主治：目赤肿痛，翳障胬肉  

3. **五加皮**  
   - 性味：辛、苦、温  
   - 功效：祛风湿，补肝肾  
   - 主治：风湿痹痛，肾虚腰痛，水肿脚气  

---

### **注意事项**
- 部分药材（如枸杞子）包含多个部位（根、叶、地骨皮），需分开归类。  
- 重复条目（如五加皮、黄荆根）已合并处理。  
- 特殊主治（如“胁破肠出”）保留原始描述。  

此整理保留了原文的详细信息，同时按药材类别分类，便于查阅和应用。
