以下是《握灵本草》卷七内容的现代文整理与分类，便于理解与应用：

---

### **一、药材部分**
#### **1. 芡实**
- **性味**：甘、平、涩，无毒  
- **功效**：补肾固精、止泻止带、益气强身  
- **用法**：  
  - **补下元**：芡实末与金樱子膏或丸剂同用（水陆丹）。  
  - **四精丸**：与秋石、茯苓、莲子等配伍，治思虑过度导致的遗精、小便频。  
  - **分清丸**：芡实粉与茯苓粉合用，治浊病（如白浊、带下）。  

#### **2. 莲实（石莲）**
- **性味**：甘、平、涩，无毒  
- **功效**：补中养神、固精止泄、止血止带  
- **用法**：  
  - **白浊遗精**：石莲肉、龙骨、益智仁等分研末，米汤送服。  
  - **心虚赤浊**：石莲肉与炙甘草配伍，治心虚导致的赤浊。  
  - **久痢噤口**：石莲肉末与陈仓米饮调服，或加香莲丸增强效果。  

#### **3. 莲子心**
- **性味**：苦寒  
- **功效**：清心泻火、止血止咳  
- **用法**：  
  - **劳心吐血**：莲子心与糯米研末，酒服。  
  - **产后血渴**：莲子心研末，米饮服。  
  - **遗精**：莲子心末加辰砂，白汤送服。  

#### **4. 莲须**
- **性味**：涩  
- **功效**：补肾固精、止血  
- **用法**：  
  - **固真丸**、**补精固气**方中常用，治肾虚遗精、乌须止血。  

#### **5. 莲房**
- **性味**：苦涩  
- **功效**：止血  
- **用法**：  
  - **止血方**：烧炭后入药，用于咯血、衄血等。  

---

### **二、食材部分**
#### **1. 葡萄**
- **性味**：甘、平、涩，无毒  
- **功效**：益气强筋、除烦解渴  
- **用法**：  
  - **热淋涩痛**：葡萄汁、藕汁、生地黄汁、蜂蜜各半盏，混合服用。  
  - **胎上逼心**：白黑葡萄煎汤饮。  
  - **痘疮不出**：研酒饮用，效果显著。  

#### **2. 甘蔗**
- **性味**：甘、平，涩，无毒  
- **功效**：下气和中、利大小肠、解酒热  
- **用法**：  
  - **反胃呕吐**：甘蔗汁与生姜汁混合，每日细饮。  
  - **疟疾疲瘵**：每日食用甘蔗可自愈。  

#### **3. 藕**
- **性味**：甘、平，无毒  
- **功效**：止热渴、散瘀血、开胃  
- **用法**：  
  - **产后闷乱**：藕汁、生地黄汁、童便各半盏，温服。  
  - **上焦痰热**：藕汁与梨汁各半盏，混合服用。  
  - **热淋**：藕汁、生地黄汁、葡萄汁等分，半盏服用。  

#### **4. 荷叶**
- **性味**：苦、涩，凉  
- **功效**：清热凉血、止血、安胎  
- **用法**：  
  - **产后血晕**：荷叶、姜黄、红花研末，童便调服。  
  - **胎动不安**：干荷叶蒂炙研，糯米泔水调服。  
  - **吐血、咯血**：败荷叶、蒲黄研末，桑白皮汤送服。  
  - **阳水浮肿**：败荷叶烧研，米汤送服。  

---

### **三、药方部分**
#### **1. 瓜蒂散**
- **组成**：瓜蒂2钱（熬黄）、赤小豆2钱半，研末。  
- **用法**：  
  - 每用1钱，加香豉1合、热汤7合，煮成糊状，少量服，催吐。  
  - **适应症**：胸中寒气、痰饮、宿食等实证，禁用于亡血虚人。  

#### **2. 金锁玉关丸**
- **组成**：藕节、莲花须、莲子肉、芡实、山药、茯苓、茯神各2两，金樱子膏为赋形剂。  
- **用法**：  
  - 治遗精、白浊、心虚不宁，每日服70丸，米汤送服。  

#### **3. 四生丸**
- **组成**：生荷叶、生艾叶、生柏叶、生地黄等分，捣烂为丸（如鸡蛋大）。  
- **用法**：  
  - 每丸水煎服，治吐血、咯血、衄血等。  

---

### **四、注意事项**
1. **药性辨识**：部分药材（如荷叶、莲子心）性寒，脾胃虚寒者慎用。  
2. **配伍禁忌**：如甘蔗煎炼后助湿热，需避免与湿热体质者同用。  
3. **用量控制**：药方中剂量（如“二钱”）需结合现代剂量换算（1钱≈3克）。  
4. **特殊人群**：孕妇、虚寒体质者需在医师指导下使用。  

---

此整理旨在帮助现代人理解古籍内容，实际应用时建议结合中医师指导，确保安全有效。
