以下是对您提供的中药和食疗内容的整理与解读，分为药材、食物、饮品等类别，并附有关键信息说明：

---

### **一、药材分类**
#### **1. 大豆类**
- **生大豆**  
  - 性味：甘、平  
  - 功效：解热毒、杀鬼毒、止痛、逐水胀、除胃中热痹、下瘀血。  
  - 用法：煮汁饮（解毒），炒屑（主胃中热、消谷）。  
  - 禁忌：久服令人身重。  

- **黑小豆**（藿豆）  
  - 性味：甘、平  
  - 功效：固肾、止腰膝痛、消食胀、清热除痹。  
  - 用法：炒研豆屑，汤调服。  

- **大豆黄卷**（发芽后暴干）  
  - 性味：甘、平  
  - 功效：祛湿痹、筋骨挛痛、散五脏结积、益气止毒。  
  - 用法：炒香为末，空心酒服。  

- **赤小豆**  
  - 性味：甘、酸、平（气温，辛）  
  - 功效：利水消肿、散痈肿、止泄、利小便、解酒毒。  
  - 用法：煎汁饮（解酒），与桑白皮煎治湿痹。  
  - 禁忌：久服虚人，致枯燥黑瘦。  

- **绿豆**  
  - 性味：甘、寒  
  - 功效：解丹毒、消肿下气、压热、解石毒。  
  - 用法：生研绞汁服，或煮食。  
  - 注意：勿去皮（皮寒肉平）。  

#### **2. 豆制品**
- **豆豉**  
  - 性味：苦、寒  
  - 功效：解热毒、退伤寒、治瘴气、杀蛊毒、通关节。  
  - 用法：酒浸敷脚气，或煮香附子丸除郁痛。  
  - 禁忌：与蛤肉同食易致霍乱。  

- **白扁豆**  
  - 性味：甘、微温  
  - 功效：和中下气、补五脏、行风气、止带下、解河豚毒。  
  - 用法：佐香薷清暑邪，佐参苓白术止泻。  

#### **3. 其他药材**
- **醋**  
  - 性味：酸、温  
  - 功效：散水气、消痈肿、杀邪毒、敛咽疮、坚癥块。  
  - 用法：调雄黄末涂毒，或煮大黄劫痃癖。  
  - 禁忌：多食损筋骨，不利男子，益女人。  

- **浆水**（酸浆）  
  - 性味：微温、甘  
  - 功效：调中、消食、止霍乱、滑肌肤。  
  - 用法：煎服（配干姜屑治霍乱），或调醋味浆水煎服。  
  - 禁忌：不可与李同食，妊娠禁饮浆水粥。  

- **酱**  
  - 性味：冷利、咸酸  
  - 功效：杀虫毒、解百药热毒、涂疥癣。  
  - 用法：陈久者用于外敷，纯面甜酱补脾胃。  

---

### **二、食物与饮品**
#### **1. 谷物与豆类**
- **黑豆**（小者）  
  - 功效：补肾、固肾、止腰痛。  
  - 用法：炒研汤调，或煮汁饮。  

- **赤小豆**  
  - 功效：利水消肿、解酒毒。  
  - 用法：煎汁饮，或与鲤鱼煮治脚气。  

- **绿豆**  
  - 功效：清热解毒、消肿下气。  
  - 用法：煮食或绞汁饮。  

#### **2. 饮品**
- **浆水**  
  - 功效：调中、止霍乱、滑肌肤。  
  - 用法：煎服（配干姜屑），或调醋味。  

- **醋**  
  - 功效：散水气、消痈肿、杀毒。  
  - 用法：调药敷肿毒，或煮香附子丸。  

---

### **三、关键注意事项**
1. **配伍禁忌**  
   - 醋忌与蛤肉同食，易致霍乱。  
   - 妊娠禁饮浆水粥，防胎儿发育不良。  

2. **炮制方法**  
   - 赤小豆需煎汁饮，绿豆忌去皮（皮寒肉平）。  
   - 大豆黄卷需水发芽后暴干，豆豉需陈久使用。  

3. **特殊用法**  
   - **豆淋酒**：黑小豆炒黑后投酒中，治瘫痪风痹、产后中风。  
   - **绿豆解酒**：与葛花同用，解酒毒。  

4. **现代应用提示**  
   - 部分药材（如赤小豆）现代研究显示利尿消肿，但需注意个体差异。  
   - 醋的酸性可能影响牙齿健康，建议适量饮用。  

---

### **四、总结**
该文本系统记录了古代中医药对大豆、豆制品、醋、浆水等的药用价值，强调性味、炮制、配伍及禁忌。现代应用时需结合个体体质，尤其注意孕妇、消化系统敏感者。建议在专业医师指导下使用，确保安全有效。
